List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,Age,Specialism,Price Rs in Cr. 
237,33,BA4,Steve,Smith,Australia,,35,BATTER,200
238,34,AL4,Gus,Atkinson,England,,27,ALL-ROUNDER,200
239,34,AL4,Tom,Curran,England,,30,ALL-ROUNDER,200
240,34,AL4,Krishnappa,Gowtham,India,KSCA,36,ALL-ROUNDER,100
241,34,AL4,Mohammad,Nabi,Afghanistan,,40,ALL-ROUNDER,150
242,34,AL4,Gulbadin,Naib,Afghanistan,,33,ALL-ROUNDER,100
243,34,AL4,Sikandar,Raza,Zimbabwe,,38,ALL-ROUNDER,125
244,34,AL4,Mitchell,Santner,New Zealand,,33,ALL-ROUNDER,200
245,34,AL4,Jayant,Yadav,India,HCA,35,ALL-ROUNDER,75
246,35,WK4,Johnson,Charles,West Indies,,36,WICKETKEEPER,75
247,35,WK4,Litton,Das,Bangladesh,,30,WICKETKEEPER,75
248,35,WK4,Andre,Fletcher,West Indies,,37,WICKETKEEPER,75
249,35,WK4,Tom,Latham,New Zealand,,33,WICKETKEEPER,75
250,35,WK4,Ollie,Pope,England,,27,WICKETKEEPER,75
251,35,WK4,Kyle,Verreynne,South Africa,,27,WICKETKEEPER,75
252,36,FA4,Fazalhaq,Farooqi,Afghanistan,,24,BOWLER,200
253,36,FA4,Richard,Gleeson,England,,37,BOWLER,75
254,36,FA4,Matt,Henry,New Zealand,,33,BOWLER,200
255,36,FA4,Alzarri,Joseph,West Indies,,28,BOWLER,200
256,36,FA4,Kwena,Maphaka,South Africa,,18,BOWLER,75
257,36,FA4,Kuldeep,Sen,India,MPCA,28,BOWLER,75
258,36,FA4,Reece,Topley,England,,31,BOWLER,75
259,36,FA4,Lizaad,Williams,South Africa,,31,BOWLER,75
260,36,FA4,Luke,Wood,England,,29,BOWLER,75
261,37,UBA4,Sachin,Dhas,India,MACA,20,BATTER,75
262,37,UBA4,Leus,Du Plooy,England,,30,BATTER,75
263,37,UBA4,Ashwin,Hebbar,India,ACA,29,BATTER,75
264,37,UBA4,Rohan,Kunnummal,India,KCA,26,BATTER,75
265,37,UBA4,Ayush,Pandey,India,CSCSCA,21,BATTER,75
266,37,UBA4,Akshat,Raghuwanshi,India,MPCA,21,BATTER,75
267,37,UBA4,Shoun,Roger,India,KCA,22,BATTER,75
268,37,UBA4,Virat,Singh,India,JSCA,27,BATTER,75
269,38,UAL4,Priyansh,Arya,India,DDCA,23,ALL-ROUNDER,75
270,38,UAL4,Manoj,Bhandage,India,KSCA,26,ALL-ROUNDER,30
271,38,UAL4,Pravin,Dubey,India,KSCA,31,ALL-ROUNDER,30
272,38,UAL4,Ajay,Mandal,India,CSCSCA,29,ALL-ROUNDER,30
273,38,UAL4,Prerak,Mankad,India,SCA,30,ALL-ROUNDER,30
274,38,UAL4,Vipraj,Nigam,India,UPCA,20,ALL-ROUNDER,30
275,38,UAL4,Vicky,Ostwal,India,MACA,22,ALL-ROUNDER,30
276,38,UAL4,Shivalik,Sharma,India,BCA,26,ALL-ROUNDER,30
277,39,UWK4,Salil,Arora,India,PCA,22,WICKETKEEPER,30
278,39,UWK4,Dinesh,Bana,India,HCA,20,WICKETKEEPER,30
279,39,UWK4,Ajitesh,Guruswamy,India,TNCA,22,WICKETKEEPER,30
280,39,UWK4,Narayan,Jagadeesan,India,TNCA,29,WICKETKEEPER,30
281,39,UWK4,Shrijith,Krishnan,India,KSCA,28,WICKETKEEPER,30
282,39,UWK4,Michael,Pepper,England,,26,WICKETKEEPER,30
283,39,UWK4,Vishnu,Solanki,India,BCA,32,WICKETKEEPER,30
284,40,UFA4,K.M,Asif,India,KCA,31,BOWLER,30
285,40,UFA4,Akhil,Chaudhary,India,DDCA,22,BOWLER,30
286,40,UFA4,Himanshu,Chauhan,India,DDCA,22,BOWLER,30
287,40,UFA4,Arpit,Guleria,India,HPCA,27,BOWLER,30
288,40,UFA4,Nishanth,Saranu,India,HYCA,20,BOWLER,30
289,40,UFA4,Kuldip,Yadav,India,DDCA,28,BOWLER,30
290,40,UFA4,Prithviraj,Yarra,India,ACA,27,BOWLER,30
291,41,USP4,Shubham,Agrawal,India,CSCSCA,31,BOWLER,30
292,41,USP4,Jass Inder,Baidwan,India,PCA,28,BOWLER,30
293,41,USP4,Jasmer,Dhankhar,India,UPCA,26,BOWLER,30
294,41,USP4,Pulkit,Narang,India,SSCB,30,BOWLER,30
295,41,USP4,Saumy,Pandey,India,MPCA,20,BOWLER,30
296,41,USP4,Mohit,Rathee,India,SSCB,26,BOWLER,30
297,41,USP4,Himanshu,Singh,India,MCA,21,BOWLER,30
298,42,BA5,Towhid,Hridoy,Bangladesh,,24,BATTER,50
299,42,BA5,Mikyle,Louis,West Indies,,24,BATTER,50
300,42,BA5,Harry,Tector,Ireland,,25,BATTER,50
301,42,BA5,Rassie,Van Der Dussen,South Africa,,36,BATTER,50
302,42,BA5,Will,Young,New Zealand,,32,BATTER,50
303,42,BA5,Najibullah,Zadran,Afghanistan,,32,BATTER,50
304,42,BA5,Ibrahim,Zadran,Afghanistan,,24,BATTER,50
305,43,AL5,Sean,Abbott,Australia,,33,ALL-ROUNDER,50
306,43,AL5,Jacob,Bethell,England,,21,ALL-ROUNDER,50
307,43,AL5,Brydon,Carse,England,,29,ALL-ROUNDER,50
308,43,AL5,Aaron,Hardie,Australia,,26,ALL-ROUNDER,50
309,43,AL5,Sarfaraz,Khan,India,MCA,27,ALL-ROUNDER,50
310,43,AL5,Kyle,Mayers,West Indies,,32,ALL-ROUNDER,150
311,43,AL5,Kamindu,Mendis,Sri Lanka,,26,ALL-ROUNDER,100
312,43,AL5,Matthew,Short,Australia,,29,ALL-ROUNDER,100
313,44,FA5,Jason,Behrendorff,Australia,,34,BOWLER,150
314,44,FA5,Dushmantha,Chameera,Sri Lanka,,33,BOWLER,75
315,44,FA5,Nathan,Ellis,Australia,,30,BOWLER,125
316,44,FA5,Shamar,Joseph,West Indies,,25,BOWLER,75
317,44,FA5,Josh,Little,Ireland,,25,BOWLER,75
318,44,FA5,Shivam,Mavi,India,UPCA,26,BOWLER,75
319,44,FA5,Jhye,Richardson,Australia,,28,BOWLER,150
320,44,FA5,Navdeep,Saini,India,DDCA,32,BOWLER,75
321,45,UBA5,Tanmay,Agarwal,India,HYCA,29,BATTER,30
322,45,UBA5,Amandeep,Khare,India,CSCSCA,27,BATTER,30
323,45,UBA5,Ayush,Mhatre,India,MCA,17,BATTER,30
324,45,UBA5,Salman,Nizar,India,KCA,27,BATTER,30
325,45,UBA5,Aniket,Verma,India,MPCA,23,BATTER,30
326,45,UBA5,Sumeet,Verma,India,HPCA,34,BATTER,30
327,45,UBA5,Manan,Vohra,India,UTCA,31,BATTER,30
328,45,UBA5,Samarth,Vyas,India,SCA,29,BATTER,30
329,46,UAL5,Raj Angad,Bawa,India,UTCA,22,ALL-ROUNDER,30
330,46,UAL5,Emanjot,Chahal,India,PCA,20,ALL-ROUNDER,30
331,46,UAL5,Musheer,Khan,India,MCA,20,ALL-ROUNDER,30
332,46,UAL5,Manvanth,Kumar L,India,KSCA,21,ALL-ROUNDER,30
333,46,UAL5,Mayank,Rawat,India,DDCA,25,ALL-ROUNDER,30
334,46,UAL5,Suryansh,Shedge,India,MCA,22,ALL-ROUNDER,30
335,46,UAL5,Hritik,Shokeen,India,DDCA,24,ALL-ROUNDER,30
336,46,UAL5,Sonu,Yadav,India,TNCA,25,ALL-ROUNDER,30
337,47,UWK5,S. Rithik,Easwaran,India,TNCA,23,WICKETKEEPER,30
338,47,UWK5,Anmol,Malhotra,India,PCA,29,WICKETKEEPER,30
339,47,UWK5,Pradosh,Paul,India,TNCA,24,WICKETKEEPER,30
340,47,UWK5,Karteek,Sharma,India,PCA,23,WICKETKEEPER,30
341,47,UWK5,Akash,Singh,India,ARCA,29,WICKETKEEPER,30
342,47,UWK5,Tejasvi,Singh,India,DDCA,22,WICKETKEEPER,30
343,47,UWK5,Siddharth,Yadav,India,UPCA,21,WICKETKEEPER,30
344,48,UFA5,Saurabh,Dubey,India,VCA,27,BOWLER,30
345,48,UFA5,Aaqib,Khan,India,UPCA,21,BOWLER,30
346,48,UFA5,Kulwant,Khejroliya,India,MPCA,33,BOWLER,30
347,48,UFA5,Ankit Singh,Rajpoot,India,UPCA,31,BOWLER,30
348,48,UFA5,Divesh,Sharma,India,HPCA,23,BOWLER,30
349,48,UFA5,Naman,Tiwari,India,UPCA,19,BOWLER,30
350,48,UFA5,Prince,Yadav,India,DDCA,23,BOWLER,30
351,49,USP5,Kunal Singh,Chibb,India,JKCA,28,BOWLER,30
352,49,USP5,Yuvraj,Chudasama,India,SCA,29,BOWLER,30
353,49,USP5,Deepak,Devadiga,India,KSCA,25,BOWLER,30
354,49,USP5,Ramesh,Prasad,India,CAB,31,BOWLER,30
355,49,USP5,Shivam,Shukla,India,MPCA,29,BOWLER,30
356,49,USP5,Himanshu,Singh,India,BICA,27,BOWLER,30
357,49,USP5,Tejpreet,Singh,India,PCA,24,BOWLER,30
358,50,AL6,Qais,Ahmad,Afghanistan,,24,ALL-ROUNDER,30
359,50,AL6,Charith,Asalanka,Sri Lanka,,27,ALL-ROUNDER,30
360,50,AL6,Michael,Bracewell,New Zealand,,34,ALL-ROUNDER,75
361,50,AL6,Gudakesh,Motie,West Indies,,30,ALL-ROUNDER,75
362,50,AL6,Daniel,Mousley,England,,23,ALL-ROUNDER,75
363,50,AL6,Jamie,Overton,England,,41,ALL-ROUNDER,75
364,50,AL6,Dunith,Wellalage,Sri Lanka,,22,ALL-ROUNDER,75
365,51,FA6,Ottneil,Baartman,South Africa,,32,BOWLER,75
366,51,FA6,Xavier,Bartlett,Australia,,26,BOWLER,75
367,51,FA6,Dilshan,Madushanka,Sri Lanka,,24,BOWLER,75
368,51,FA6,Adam,Milne,New Zealand,,32,BOWLER,75
369,51,FA6,Lungisani,Ngidi,South Africa,,29,BOWLER,100
370,51,FA6,William,O'Rourke,New Zealand,,23,BOWLER,75
371,51,FA6,Chetan,Sakariya,India,SCA,27,BOWLER,75
372,51,FA6,Sandeep,Warrier,India,TNCA,34,BOWLER,30
373,52,UBA6,Musaif,Ajaz,India,JKCA,22,BATTER,30
374,52,UBA6,Agni,Chopra,India,CAM,26,BATTER,30
375,52,UBA6,Abhimanyu,Easwaran,India,CAB,29,BATTER,30
376,52,UBA6,Sudip,Gharami,India,CAB,26,BATTER,30
377,52,UBA6,Shubham,Khajuria,India,JKCA,29,BATTER,30
378,52,UBA6,Akhil,Rawat,India,CAU,24,BATTER,30
379,52,UBA6,Prateek,Yadav,India,CSCSCA,26,BATTER,30
380,53,UAL6,Abdul,Bazith,India,KCA,26,ALL-ROUNDER,30
381,53,UAL6,K.C,Cariappa,India,CAM,30,ALL-ROUNDER,30
382,53,UAL6,Yuvraj,Chaudhary,India,CAU,23,ALL-ROUNDER,30
383,53,UAL6,Aman,Khan,India,CAP,28,ALL-ROUNDER,30
384,53,UAL6,Sumit,Kumar,India,HCA,29,ALL-ROUNDER,30
385,53,UAL6,Kamlesh,Nagarkoti,India,RCA,25,ALL-ROUNDER,30
386,53,UAL6,Hardik,Raj,India,KSCA,19,ALL-ROUNDER,30
387,53,UAL6,Harsh,Tyagi,India,DDCA,25,ALL-ROUNDER,30
388,54,UWK6,M.,Ajnas,India,KCA,27,WICKETKEEPER,30
389,54,UWK6,Unmukt,Chand,USA,,32,WICKETKEEPER,30
390,54,UWK6,Tejasvi,Dahiya,India,DDCA,22,WICKETKEEPER,30
391,54,UWK6,Sumit,Ghadigaonkar,India,ASCA,32,WICKETKEEPER,30
392,54,UWK6,Baba,Indrajith,India,TNCA,30,WICKETKEEPER,30
393,54,UWK6,Muhammed,Khan,India,TNCA,24,WICKETKEEPER,30
394,54,UWK6,Bhagmender,Lather,India,UTCA,27,WICKETKEEPER,30
395,55,UFA6,Baltej,Dhanda,India,PCA,34,BOWLER,30
396,55,UFA6,Ali,Khan,USA,,34,BOWLER,30
397,55,UFA6,Ravi,Kumar,India,CAB,21,BOWLER,30
398,55,UFA6,Vineet,Panwar,India,UPCA,26,BOWLER,30
399,55,UFA6,Vidyadhar,Patil,India,KSCA,24,BOWLER,30
400,55,UFA6,Aradhya,Shukla,India,PCA,20,BOWLER,30
401,55,UFA6,Abhinandan,Singh,India,UPCA,28,BOWLER,30
402,56,AL7,Cooper,Connolly,Australia,,21,ALL-ROUNDER,50
403,56,AL7,Dushan,Hemantha,Sri Lanka,,30,ALL-ROUNDER,50
404,56,AL7,Jason,Holder,West Indies,,33,ALL-ROUNDER,50
405,56,AL7,Karim,Janat,Afghanistan,,26,ALL-ROUNDER,50
406,56,AL7,Jimmy,Neesham,New Zealand,,34,ALL-ROUNDER,50
407,56,AL7,Daniel,Sams,Australia,,32,ALL-ROUNDER,50
408,56,AL7,William,Sutherland,Australia,,25,ALL-ROUNDER,30
409,57,FA7,Taskin,Ahmed,Bangladesh,,30,BOWLER,50
410,57,FA7,Ben,Dwarshuis,Australia,,30,BOWLER,50
411,57,FA7,Obed,McCoy,West Indies,,28,BOWLER,50
412,57,FA7,Riley,Meredith,Australia,,28,BOWLER,50
413,57,FA7,Lance,Morris,Australia,,27,BOWLER,50
414,57,FA7,Olly,Stone,England,,31,BOWLER,50
415,57,FA7,Daniel,Worrall,England,,33,BOWLER,50
416,58,UBA7,Pyla,Avinash,India,ACA,24,BATTER,30
417,58,UBA7,Kiran,Chormale,India,MACA,19,BATTER,30
418,58,UBA7,Ashish,Dahariya,India,CSCSCA,20,BATTER,30
419,58,UBA7,Tushar,Raheja,India,TNCA,24,BATTER,30
420,58,UBA7,Sarthak,Ranjan,India,DDCA,28,BATTER,30
421,58,UBA7,Abhijeet,Tomar,India,RCA,30,BATTER,30
422,59,UAL7,Krish,Bhagat,India,PCA,20,ALL-ROUNDER,30
423,59,UAL7,Sohraab,Dhaliwal,India,PCA,33,ALL-ROUNDER,30
424,59,UAL7,Harsh,Dubey,India,VCA,22,ALL-ROUNDER,30
425,59,UAL7,Ramakrishna,Ghosh,India,MACA,27,ALL-ROUNDER,30
426,59,UAL7,Raj,Limbani,India,BCA,20,ALL-ROUNDER,30
427,59,UAL7,Ninad,Rathva,India,BCA,26,ALL-ROUNDER,30
