List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,Age,Specialism,Price Rs in Cr. 
564,78,UAL14,Sairaj,Patil,India,MCA,28,ALL-ROUNDER,30
565,78,UAL14,Madhav,Tiwari,India,MPCA,21,ALL-ROUNDER,30
566,78,UAL14,Kamal,Tripathi,India,MPCA,26,ALL-ROUNDER,30
567,79,UAL15,Prashant,Chauhan,India,CAU,24,ALL-ROUNDER,30
568,79,UAL15,Yash,Dabas,India,DDCA,20,ALL-ROUNDER,30
569,79,UAL15,Dhruv,Kaushik,India,DDCA,24,ALL-ROUNDER,30
570,79,UAL15,Khrievitso,Kense,India,NCA,21,ALL-ROUNDER,30
571,79,UAL15,Akash,Parkar,India,MCA,30,ALL-ROUNDER,30
572,79,UAL15,Vignesh,Puthur,India,KCA,24,ALL-ROUNDER,30
573,79,UAL15,Tripuresh,Singh,India,MPCA,22,ALL-ROUNDER,30
574,79,UAL15,Vijay,Yadav,India,UPCA,23,ALL-ROUNDER,30
